ID,ACORN_Category
MAC002756,Rising Prosperity
MAC005317,Rising Prosperity
MAC005411,Rising Prosperity
MAC002662,Rising Prosperity
MAC002757,Rising Prosperity
MAC005274,Rising Prosperity
MAC002522,Rising Prosperity
MAC005400,Rising Prosperity
MAC002557,Rising Prosperity
MAC000309,Rising Prosperity
MAC002558,Rising Prosperity
MAC002702,Rising Prosperity
MAC005367,Rising Prosperity
MAC000301,Rising Prosperity
MAC002605,Rising Prosperity
MAC002603,Rising Prosperity
MAC000302,Rising Prosperity
MAC005358,Rising Prosperity
MAC005295,Rising Prosperity
MAC005296,Rising Prosperity
MAC002635,Rising Prosperity
MAC002598,Rising Prosperity
MAC002636,Rising Prosperity
MAC002597,Rising Prosperity
MAC005356,Rising Prosperity
MAC005373,Rising Prosperity
MAC005355,Rising Prosperity
MAC005294,Rising Prosperity
MAC005309,Rising Prosperity
MAC000304,Rising Prosperity
MAC002608,Rising Prosperity
MAC002719,Rising Prosperity
MAC005360,Rising Prosperity
MAC002623,Rising Prosperity
MAC002621,Rising Prosperity
MAC005362,Rising Prosperity
MAC002620,Rising Prosperity
MAC005304,Rising Prosperity
MAC002626,Rising Prosperity
MAC005302,Rising Prosperity
MAC002617,Rising Prosperity
MAC005301,Rising Prosperity
MAC005307,Rising Prosperity
MAC005300,Rising Prosperity
MAC000299,Rising Prosperity
MAC002616,Rising Prosperity
MAC005299,Rising Prosperity
MAC005297,Rising Prosperity
MAC002615,Rising Prosperity
MAC000300,Rising Prosperity
MAC005365,Rising Prosperity
MAC002611,Rising Prosperity
MAC005375,Rising Prosperity
MAC005277,Rising Prosperity
MAC002590,Rising Prosperity
MAC005353,Rising Prosperity
MAC002648,Rising Prosperity
MAC002735,Rising Prosperity
MAC005383,Rising Prosperity
MAC005286,Rising Prosperity
MAC002567,Rising Prosperity
MAC005387,Rising Prosperity
MAC002564,Rising Prosperity
MAC002737,Rising Prosperity
MAC002570,Rising Prosperity
MAC000308,Rising Prosperity
MAC002740,Rising Prosperity
MAC005282,Rising Prosperity
MAC005333,Rising Prosperity
MAC002693,Rising Prosperity
MAC005390,Rising Prosperity
MAC002691,Rising Prosperity
MAC005391,Rising Prosperity
MAC002744,Rising Prosperity
MAC005285,Rising Prosperity
MAC002571,Rising Prosperity
MAC005293,Rising Prosperity
MAC005334,Rising Prosperity
MAC002587,Rising Prosperity
MAC002584,Rising Prosperity
MAC002583,Rising Prosperity
MAC002641,Rising Prosperity
MAC002724,Rising Prosperity
MAC000306,Rising Prosperity
MAC005346,Rising Prosperity
MAC002727,Rising Prosperity
MAC002697,Rising Prosperity
MAC005311,Rising Prosperity
MAC002644,Rising Prosperity
MAC002581,Rising Prosperity
MAC005378,Rising Prosperity
MAC002729,Rising Prosperity
MAC002730,Rising Prosperity
MAC005343,Rising Prosperity
MAC000307,Rising Prosperity
MAC002573,Rising Prosperity
MAC005382,Rising Prosperity
MAC002588,Rising Prosperity
MAC002244,Rising Prosperity
MAC002372,Rising Prosperity
MAC002504,Rising Prosperity
MAC002142,Rising Prosperity
MAC002141,Rising Prosperity
MAC000681,Rising Prosperity
MAC002135,Rising Prosperity
MAC002133,Rising Prosperity
MAC002130,Rising Prosperity
MAC000709,Rising Prosperity
MAC002125,Rising Prosperity
MAC000716,Rising Prosperity
MAC000719,Rising Prosperity
MAC002121,Rising Prosperity
MAC002120,Rising Prosperity
MAC002143,Rising Prosperity
MAC000722,Rising Prosperity
MAC002112,Rising Prosperity
MAC000738,Rising Prosperity
MAC000755,Rising Prosperity
MAC000766,Rising Prosperity
MAC002100,Rising Prosperity
MAC000772,Rising Prosperity
MAC002096,Rising Prosperity
MAC000775,Rising Prosperity
MAC000785,Rising Prosperity
